tech,node,perfect_foresight,rolling_horizon_no_bias,delta_noBias_minus_PF
photovoltaics,DE,512.6389972306968,80.17037396607336,-432.4686232646234
photovoltaics,IT,204.54214843993623,113.77697464849028,-90.76517379144595
heat_pump,DE,122.29796727800915,112.87173774365769,-9.426229534351464
wind_onshore,DE,106.9725248271463,106.97252483078185,3.6355487509354134e-09
heat_pump,IT,105.88024276824473,48.643493380025205,-57.23674938821952
battery,DE,91.58018564218399,0.5815053851430632,-90.99868025704093
natural_gas_boiler,DE,89.94362878025898,116.28463931390971,26.34101053365073
wind_onshore,IT,79.13809425477957,5.599958160983357,-73.53813609379621
photovoltaics,CH,59.71794910781797,15.755112503935333,-43.962836603882636
battery,IT,52.0577250426803,17.167774827345387,-34.88995021533492
natural_gas_boiler,IT,38.250246374688835,78.08471661786868,39.834470243179844
natural_gas_turbine,DE,28.060339839903374,42.873482465901546,14.813142625998172
battery,CH,18.978662509449272,0.6849575596832312,-18.293704949766042
wind_offshore,DE,18.95597242379299,4.863391138739368,-14.092581285053623
natural_gas_turbine,IT,18.523050980590835,19.315322669076345,0.7922716884855099
heat_pump,CH,17.38692066215267,0.0,-17.38692066215267
natural_gas_boiler,CH,17.269083386661045,29.474815943266584,12.20573255660554
natural_gas_turbine,CH,7.506019055226583,4.179303047623354,-3.3267160076032285
reservoir_hydro,CH,5.965895841189085,4.7657005112916,-1.2001953298974852
run-of-river_hydro,IT,5.756959999925028,5.75695999934339,-5.816378489953422e-10
reservoir_hydro,IT,5.485239999857716,5.485239999894426,3.6710190443045576e-11
power_line,CH-DE,4.200000000014102,4.1999999968460715,-3.168030282552081e-09
run-of-river_hydro,CH,3.799359999974248,3.799359996832728,-3.141519933080872e-09
wind_onshore,CH,2.764784365654626,0.0,-2.764784365654626
run-of-river_hydro,DE,2.49690420681903,2.496904206622209,-1.9682122598396745e-10
power_line,CH-IT,0.2409694330429436,0.6461970587087553,0.4052276256658117
reservoir_hydro,DE,0.1895000000135808,0.1894999999686559,-4.49248971357008e-11
natural_gas_pipeline,IT-CH,0.0,0.0,0.0
natural_gas_pipeline,DE-CH,0.0,0.0,0.0
natural_gas_pipeline,CH-DE,0.0,0.0,0.0
natural_gas_pipeline,CH-IT,0.0,0.0,0.0
power_line,DE-CH,0.0,0.0,0.0
power_line,IT-CH,0.0,0.0,0.0
wind_offshore,CH,0.0,0.0,0.0
wind_offshore,IT,0.0,0.0,0.0
