policy,target,bias,target_add_base,target_add_policy,delta_target_add,delta_total_cost
pv_remun_DE,photovoltaics@DE,0.0,80.17037396607336,80.17037396607336,0.0,0.0
pv_remun_DE,photovoltaics@DE,0.05,80.53757460775498,83.38767649041296,2.850101882657981,-466.80683895386755
pv_remun_DE,photovoltaics@DE,0.1,80.4512245217498,86.32840380926928,5.877179287519482,-219.21167990448885
pv_remun_DE,photovoltaics@DE,0.2,83.0828700687646,89.75534034182428,6.672470273059673,1441.2891317240428
pv_remun_DE,photovoltaics@DE,0.3,84.59520730619867,86.2389623831264,1.6437550769277323,4176.612435976043
pv_remun_DE,photovoltaics@DE,0.4,83.24329575362461,92.88706737305367,9.64377161942906,-2229.955790993292
pv_remun_DE,photovoltaics@DE,0.5,80.35410324703867,107.71089080564109,27.35678755860242,-7635.31304546562
pv_remun_DE,photovoltaics@DE,0.6,73.1989466096924,103.1554919869489,29.956545377256504,-7047.837210409809
pv_remun_DE,photovoltaics@DE,0.7,74.67548864391308,134.36437340429364,59.68888476038056,-23551.101007293444
pv_remun_DE,photovoltaics@DE,0.8,80.09522762193126,309.9967811259734,229.90155350404217,-28782.088052310748
pv_remun_DE,photovoltaics@DE,0.9,83.68219733640554,336.1874949360026,252.5052975995971,-19838.052562563913
pv_remun_DE,photovoltaics@DE,0.95,82.90289420616557,484.42889995107265,401.5260057449071,-7825.003807625268
pv_remun_DE,photovoltaics@DE,1.0,83.72135030270286,542.086211543141,458.36486124043813,-1552.5004548779689
hp_capex_DE,heat_pump@DE,0.0,112.87173774365769,112.87173774365769,0.0,0.0
hp_capex_DE,heat_pump@DE,0.05,113.09158068350611,113.09158189680846,1.2133023545857213e-06,-0.006812081206589937
hp_capex_DE,heat_pump@DE,0.1,113.09566734582366,113.28000263495566,0.18433528913200803,-123.25849575642496
hp_capex_DE,heat_pump@DE,0.2,114.4408919988335,114.64062372093196,0.19973172209846268,-1021.4992968230508
hp_capex_DE,heat_pump@DE,0.3,111.23431397582502,117.27022062942304,6.035906653598019,-3003.9913610094227
hp_capex_DE,heat_pump@DE,0.4,111.77252742284392,115.98291353527337,4.210386112429447,-13414.09888342279
hp_capex_DE,heat_pump@DE,0.5,106.56796333028552,113.61199062057791,7.044027290292391,-4037.588483601343
hp_capex_DE,heat_pump@DE,0.6,106.08319318890554,121.75707950662937,15.673886317723827,-16961.30315253162
