set_conversion_technologies,CH,DE,IT,total
reservoir_hydro,-912.9255354936386,4381.153237845072,431.6228344478587,3899.850536799292
run-of-river_hydro,-1021.2878886998104,3345.6378183214306,375.34223657820246,2699.6921661998226
photovoltaics,-108.78758511934876,-272.8381165388392,-25.315079193121186,-406.9407808513091
heat_pump,-354.4211138672636,-181.06592840020997,-590.3038710640535,-1125.790913331527
wind_onshore,-888.0119041073194,-106.6529996954536,-323.8533830339518,-1318.5182868367247
wind_offshore,-917.236878622174,-917.236878622174,-917.236878622174,-2751.710635866522
natural_gas_boiler,-818.1584072076411,-777.1307361384634,-1368.1118706952093,-2963.401014041314
natural_gas_turbine,-2289.7290921214235,-2014.4473806152653,-2277.3833120416057,-6581.559784778295
