tech,sector,pi_year0_clean,additions_lam0,additions_lam2,delta_additions_0to2
heat_pump,heat,-1125.790913331527,161.5152311236829,272.5434557744474,111.02822465076451
natural_gas_boiler,heat,-2963.401014041314,223.84417187504496,148.45378338662618,-75.39038848841878
natural_gas_turbine,electricity,-6581.559784778295,66.36810818260123,69.22937531095722,2.8612671283559905
photovoltaics,electricity,-406.9407808513091,209.70246111849897,251.47043604159092,41.76797492309194
reservoir_hydro,electricity,3899.850536799292,10.440440511154682,11.64063584042109,1.2001953292664087
run-of-river_hydro,electricity,2699.6921661998226,12.05322420279833,12.053224199878008,-2.9203217621898148e-09
wind_offshore,electricity,-2751.710635866522,4.863391138739368,6.239578068331811,1.3761869295924436
wind_onshore,electricity,-1318.5182868367249,112.57248299176521,169.2333532874178,56.660870295652586
